site,country,label,method,n_cal,n_repeats,ece_mean,ece_median,ece_q90,n_positive,reliable_estimate
code15_like,BR,STACH,platt,50,20,0.012182099840113906,0.009905480750144014,0.0192238303963852,66,True
code15_like,BR,STACH,isotonic,50,20,0.014925642841033301,0.0068696727788036885,0.026938775510204082,66,True
code15_like,BR,STACH,hybrid,50,20,0.016960501830549042,0.01387754607291955,0.02693777551020408,66,True
code15_like,BR,STACH,identity,100,20,0.009599155243403637,0.009625970299315507,0.010011200745147091,66,True
code15_like,BR,STACH,prior_correction,100,20,0.02581094495107892,0.02625,0.027122710241465446,66,True
code15_like,BR,STACH,temperature,100,20,0.010004350677138651,0.010026342006901535,0.010815273633739093,66,True
code15_like,BR,STACH,platt,100,20,0.0074067810657523605,0.007775606951417593,0.010743010860663081,66,True
code15_like,BR,STACH,isotonic,100,20,0.006722590012228534,0.005636880059896161,0.01008693228431771,66,True
code15_like,BR,STACH,hybrid,100,20,0.010950322770495225,0.006121234013051223,0.02533668438749705,66,True
code15_like,BR,STACH,identity,200,20,0.009576767496316047,0.009540944826979925,0.01004144876313049,66,True
code15_like,BR,STACH,prior_correction,200,20,0.026319713303457743,0.026521739130434784,0.027,66,True
code15_like,BR,STACH,temperature,200,20,0.009636771130646246,0.009382641020681908,0.01051573326847371,66,True
code15_like,BR,STACH,platt,200,20,0.0036858879593099523,0.002660670359904951,0.008100476260326492,66,True
code15_like,BR,STACH,isotonic,200,20,0.0028226974930951353,0.0024770837121704057,0.006406521648595823,66,True
code15_like,BR,STACH,hybrid,200,20,0.008284815897936762,0.006956494184173758,0.015326082940787555,66,True
code15_like,BR,STACH,identity,400,20,0.009508520314555234,0.009741792714395936,0.010001489754443182,66,True
code15_like,BR,STACH,prior_correction,400,20,0.026137815368087215,0.026647634151831103,0.02761904761904762,66,True
code15_like,BR,STACH,temperature,400,20,0.00935030383286357,0.009368275730121734,0.009862246280256642,66,True
code15_like,BR,STACH,platt,400,20,0.0026015794920686286,0.00218725016457396,0.006705090247203017,66,True
code15_like,BR,STACH,isotonic,400,20,0.002370744471542937,0.001486620400825138,0.0072570786057108184,66,True
code15_like,BR,STACH,hybrid,400,20,0.006412463230991672,0.00464286093035436,0.013244890641835635,66,True
code15_like,BR,STACH,identity,800,20,0.009396764234104616,0.009490594189095309,0.010443239667303844,66,True
code15_like,BR,STACH,prior_correction,800,20,0.026310537522478535,0.026462807345160287,0.028851869772585886,66,True
code15_like,BR,STACH,temperature,800,20,0.00922067711279061,0.009222619468290012,0.010684343723519018,66,True
code15_like,BR,STACH,platt,800,20,0.002832367743995838,0.002532849804481333,0.005306186882808148,66,True
code15_like,BR,STACH,isotonic,800,20,0.002551193213322989,0.001878164400089144,0.0046736593218324254,66,True
code15_like,BR,STACH,hybrid,800,20,0.0050612486241668605,0.005294120037709002,0.00957910061263934,66,True
korea_like,KR,AF,identity,0,1,0.0038433798525707662,0.0038433798525707662,0.0038433798525707662,16,False
korea_like,KR,AF,prior_correction,0,1,0.006402561024409764,0.006402561024409764,0.006402561024409764,16,False
korea_like,KR,AF,temperature,0,20,0.0038415209553094866,0.003842837351906467,0.0038439533027178176,16,False
korea_like,KR,AF,platt,0,20,0.0038415209553094866,0.003842837351906467,0.0038439533027178176,16,False
korea_like,KR,AF,isotonic,0,20,0.0038415209553094866,0.003842837351906467,0.0038439533027178176,16,False
korea_like,KR,AF,hybrid,0,20,0.0038415209553094866,0.003842837351906467,0.0038439533027178176,16,False
korea_like,KR,AF,identity,25,20,0.003850156708104669,0.0038563478895389863,0.0038958159296559017,16,False
korea_like,KR,AF,prior_correction,25,20,0.006382158234179276,0.006463341002920971,0.006464646464646465,16,False
korea_like,KR,AF,temperature,25,20,0.008156592611084455,0.00385886600938465,0.024870757240655066,16,False
